,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Software Engineer - Data Science,$60K-$127K (Glassdoor est.),"Join ClearEdge and be a part of the team of men and women that solve some of the DoD’s most complex technical challenges. Every day, ClearEdge empowers customers in Government and industry with innovative data driven solutions.
Check out our extremely competitive benefits package at clearedgeit.com/benefits which includes a 10k annual training/education benefit, tech bonuses, and state of the art technology lab. We also offer monthly TechConnect and DeepDive collaboration sessions with our entire technical staff, fully paid.

Your mission: Work with a dynamic team and key stakeholders to generate and execute challenging solutions to mission problems.
We are seeking Software Engineers of all levels with Data Science experience. The position requires a self-starter with excellent problem-solving skills. The right person will work closely with the customer to gather requirements for assisting in solving real world problems using data science techniques. The candidate should be experienced with exploratory data analysis, machine learning, network graph modeling, information insight, data mining, data driven analytics and statistical methods.
You will excel in this role if you are:
Results-oriented developer who can leverage your technical skills and techniques to successfully design, develop and deploy software solutions
Self-motivated and have a desire to build new skills
Are familiar with Agile frameworks and methodologies with a desire to be a certified SCRUM Master
Enjoy learning new technologies, are a forward thinker, and are interested in growing your career with a cutting-edge technology company
A day in the life consists of:
Working directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems
Creating and deploying predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods
Performing enterprise level software development, integration, and implementation using advanced data science or big data technologies
Establishing and implementing end-to-end proof of concepts
Performing data mining, statistical analysis, predictive modeling and simulation, and forecasting for the development of solutions
Working across multi-functional teams to formulate, prototype, implement, and fine tune solutions
Educating product development and operations teams using documentation, presentations, and demonstrations
Establishing strong, collaborative working relationships with Government customers, technical staff, and peers
What we are expecting from you:
Experience in the design and development of data science software applications
Bachelor’s or Advanced degree in Computer Science, Computer Engineering, or other technical discipline
Experience with Exploratory Data Analysis including wrangling, grooming, transformation, and analysis
Experience applying statistical methods to solve data problems
Software development programming experience in languages such as Python, R, Java, Scala
Experience using IDE tools such as Jupyter to develop and demonstrate results
Experience with integrating and using Data Science libraries such as scikit-learn, MlLib, Pandas, python (Jupyter, scikit-learn, pandas, etc.), R, Java
Experience with supervised and unsupervised machine learning techniques
Experience with Agile development and Agile tools (i.e. Jira, Confluence)
Experience within the SIGINT mission environment and an understanding of customer data formats
Strong analysis and problem-solving experience
Nice to have:
Experience using large-scale distributed frameworks such as Hadoop, Spark, Tensorflow
Experience with GPU-based machine learning techniques


About us: Experienced advanced analytic development company providing new Cyber solutions to current and emerging missions.
Our Core Values of Honesty, Integrity, Loyalty, Fairness, Respect, Responsibility, and Accountability drive our mission and vision and are the heart of what we do each day. We combine our Core Values with the three key elements of people, technology, and integrity to repeatedly deliver stellar results within our primary competencies.
ClearEdge is also pleased to share that we have recently expanded our prime and subcontract presence into new Cyber markets!
If this position does not fit your skillset, please visit our Careers page to explore our current openings, or contact a ClearEdge recruiter at careers@clearedgeit.com. ClearEdge is an equal opportunity employer.",4.1,"ClearEdge
4.1","Annapolis Junction, MD",51 to 200 Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
1,Quality Systems Data Science Engineer,$60K-$127K (Glassdoor est.),"It is our people behind life’s passions who will make the big difference. If you are interested in becoming part of a company that delivers market leading products, driving your own career and working with brands committed to active lifestyles, then you’ve found your fit.

Have what it takes? Join us.

Job Title:

Quality Systems Data Science Engineer

Location:

W6250 Pioneer Road, Fond du Lac, WI 54935

Duties:

Analyze the data systems in the assembly, machining and coating operations. Work closely with the Controls, IT, Production, Materials and Operations groups to ensure that quality data is received from multiple management systems such as in-process validations and other areas in the operations. Act as Business Analytics subject matter expert representing Operations in strategic development of metrics and related analytics. Extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure. Use PowerQuery, M and DAX to develop data models and visualize data using Power BI. Use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel. Improve processes to reduce common cause variability and eliminate special cause by following Problem Solving techniques such as Six Sigma (DMAIC). Design dashboards and related analytics that provide information appropriate for all levels of the organization. Develop scalable and reliable datasets, reports and dashboards. Ensure appropriate collection of quality data, analyze the data for trends, identify corrective action opportunities, and drive corrective action activities. Facilitate the definition and execution of design verifications and manufacturing control plans.

Education + Experience Requirements

Master’s degree in industrial engineering or manufacturing engineering and two (2) years of experience as a quality engineer

Special Skills:

Must have work experience in each of the following: 1) extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure; 2) use PowerQuery, M and DAX to develop data models and visualize data using Power BI; and 3) use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel.

Salary:

$78,500

Apply:

www.brunswick.com

We are the people behind life’s passions.

Brunswick does not accept applications, inquiries or solicitations from unapproved staffing agencies or vendors. For help, please contact our support team at: hrsharedservices@brunswick.com or 866-278-6942.

Equal Opportunity Employer: Minorities/Women/Protected Veterans/Disabled

EEO is The Law - click here for more information

Brunswick and Workday Privacy Policies

#Brunswick Corporation - Mercury Marine",3.7,"Mercury Marine
3.7","Fond du Lac, WI",1001 to 5000 Employees,1939,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
2,Inside Sales Representative (Headquarters),$60K-$127K (Glassdoor est.),"Becoming a Sales Professional at Red Ventures means launching a sales career with a company ranked in the top ten best places to work in Charlotte, NC for 10 years running. It's easy to see why! Imagine a day in the life of a Red Ventures Sales Professional: a high-energy sales center, a supportive team by your side, goals to strive for, subsidized gourmet cafés, on-campus facilities to remain active, and defined career paths for successful Sales Professionals.

About the Role:

As a Sales Professional, you will sell on behalf of our brand partners. These will be inbound phone calls (no cold-calls) from residential customers shopping for home services.
Your goal is to establish rapport, deliver maximum product value, overcome hesitations and close the sale in just one call.
We'll give you all the tools you need for success – paid training, proprietary technology, dynamic scripting and expert coaching.
If you've got the drive, you can grow your sales career at Red Ventures through 5 different levels. Each promotion means higher earning potential and perks like extra PTO days, guaranteed holidays, and additional learning and development opportunities.
On average, a Sales Professional earns in the low $40,000s in their first 12 months. This includes a combination of the hourly base pay and uncapped commission, based on performance.
Commuting to our office in Fort Mill, SC is easy, and just 5-10 minutes south of the Ballantyne area of Charlotte.

About You:

The bottom line is we're a place where sales talent – of all levels and all backgrounds – can earn, learn and grow for years to come. Maybe you're seeking an entry-level role and are excited for extensive paid training as well as coaching and mentorship. Maybe you're a seasoned sales pro or customer service representative ready for a new opportunity with incredible growth potential. Sales experience not required. Instead, we look for teammates who are:

Adaptable - Do you thrive under pressure and roll with change?
Accountable - You come to work, ready to work. Your team can count on you.
Coachable - Our leadership teams are the best of the best and they're here for you.
Grit - You bring your best attitude and best effort, all the time.
Honest - Integrity is non-negotiable here—we believe in ""winning the right way"".
Drive - Commission is uncapped and so are our goals—let's chase both together.
Funny - Seriously—a sense of humor is a must. We work hard, play hard, and hand out the high fives for free.

Must be at least 18 years of age and able to pass a pre-employment drug screen and background check.

About Red Ventures:

Red Ventures is a multi-billion-dollar portfolio of digital companies that specializes in bringing consumers and brands together. Through bespoke technology, integrated digital commerce and sales, distinguished partnerships, data science, and original content from the company's proprietary brands and marketplaces, Red Ventures provides better end-to-end consumer experiences throughout the buying cycle. Headquartered near the Charlotte area, Red Ventures has more than 3,600 employees globally in offices across the US, UK, and Brazil.",2.5,"Red Ventures - Sales
2.5","Charlotte, NC",1001 to 5000 Employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD)
3,Data Scientist,$60K-$127K (Glassdoor est.),"Braxton Technologies is looking for a data scientist with professional experience with machine learning, deep learning, and other data analysis techniques. The data scientist must have at least undergraduate coursework in physics, discrete mathematics, probability and statistics, and linear algebra. Experience with formal requirements and technical documentation is necessary. Experience with enterprise-level operational systems is not necessary, but helpful.

This position will require quickly coming up to speed on the customers' needs and working with lead engineers to iterate on multiple solutions. This position will require exposure to the customers through meetings, high-quality documentation, and delivery of software solutions. There may be opportunities for travel to off-site customer locations. In-person attendance is desired (post COVID-19), but partial and full remote work is an option for outstanding candidates.

Position Description

• Iterates and continuously improves software solutions from early development to product sustainment.
• Verifies work products meet detailed customer and user requirements and other design objectives. Provides documented proof that test artifacts demonstrate fulfillment of the requirements.
• Presents technical approaches and findings to system engineers and other stakeholders.
• Develops and reviews technical and programmatic documentation.

Position Responsibilities

• Participates in the execution of advanced computing problems related to space flight
• Creates prototypes and operational applications to analyze large sets of highly structured data for spacecraft operations
• Designs and maintains automated test scripts and applications
• Creates data visualizations of results of analyses
• Makes use of existing configuration management for software modules and system documentation

Minimum Security Clearance

• None required initially. Ability to obtain DoD Secret security clearance is required.

Required Qualifications and Skills

• Experience with the following technologies:

• Python programming language
• Numerical computation in Python with numpy and matplotlib
• At least one common Python ML toolkit such as Keras, Tensor Flow, etc.
• Windows and Linux operating systems

• Excellent verbal and written communication skills
• Team-oriented personality

Additional Desired Qualifications, Skills, Certifications

• Experience with SQL database querying
• Experience with a distributed computation technology (Apache Spark via PySpark preferred)
• Experience with on-demand allocation of computational assets (e.g. elastic cloud)
• Fundamental science and engineering undergraduate courses
• Familiarity with aerospace flight concepts and/or fluid dynamics
• Git version control
• Agile software development

Education and Training Required

• Bachelor's Degree in Computer Science, Mathematics, Engineering, Physics, or similar field

Minimum Years of Experience

• 6+ with a Bachelor's Degree

• 3+ with a Master's Degree

BSTG is an equal opportunity, affirmative action employer, and is committed to providing employment opportunities to all qualified applicants without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. If you are unable to use our online application process due to an impairment or disability, please contact the Talent Acquisition Division at 719-219-7472 or hr.staffing@bstgllc.com. If this position requires a government clearance, the applicants selected will be subject to a government security investigation and must meet eligibility requirements for accessing classified information.

#BSTGSP",1.6,"Braxton Science & Technology Group
1.6","Colorado Springs, CO",51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
4,Data Science Engineer Full Stack - AI,$60K-$127K (Glassdoor est.),"Data Science Engineer Full Stack - AI

Overview

Our ideal candidate has AI and development experience combined with a passion for design, user experience, analytics, and customer success.

Responsibilities:
Design and assist in the development of high-quality, scalable, and maintainable data science frameworks
Work with other developers to design and implement data science features in support of established security and acceptance criteria in collaboration with product owners
Work with engineers, designers, and analysts to deliver innovative AI product feature enhancements
Provide on-going development support as needed
Assist in the development of feature and support documentation
Assist the QA team with feature and regression testing for feature acceptance
Interface with the core engineering, product, and DevOps teams as necessary to ensure success of Data Science products from development, design, and infrastructure perspectives
Develop and maintain adherence to product management processes throughout the organization.
Help create compelling user experiences
Create and deliver on project timelines
BryterCX is the leading company in providing a Journey Intelligence SaaS solution to organizations in order to improve their customers experiences by removing friction and optimizing every function and channel. We make the world better by making business experiences better. The BryterCX Journey Management Suite - IRIS - provides organizations with the ability to increase revenue by lowering attrition, decreasing costs by reducing analog channels, and improving the overall experience by matching the right experience to the customer.

Qualifications:
Proficiency designing and implementing multi-tenant services powering data science calculations with such technologies as modern Python in a distributed computing ecosystem
Awareness of tools used in manipulation of large, complex datasets for use in analytic use cases using tools such as Python, Spark, PostgreSQL, Go. In addition, some experience with pyspark, tensorflow, numpy and pandas would be helpful
Knowledge of statistical methods, models and process and how they are applied to data cleaning processing and prediction
Familiarity with UI languages and platforms across all application layers including JavaScript
Experience with continuous integration and deployment on Jenkins
Familiarity with data sets in myriad of formats and storage technologies/databasessuch as HDFS, Avro, CSV, JSON
Ability to work within an iterative software development lifecycle, under Agile development processes
Proficiency with common software engineering best practices, such as pairing, test-driven development (TDD), writing unit and integration tests, and participating in code reviews
Excellent written and verbal communication
Hands-on self starter
Authorization to work for any employer in the US required.

Powered by JazzHR",2.8,"BryterCX
2.8",United States,51 to 200 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
5,Data Strategy & Analytics Associate,$60K-$127K (Glassdoor est.),"isn’t your usual company. Our work is powered by the premise that every person at is unique and possesses a distinct set of skills, personality and passions. We embrace our collective talents to tackle technical challenges, refine our successfully disruptive business ideas and co-create one of the most human and inspiring work cultures out there. We are a team of collaborators who value and reward shared success over individual heroics.
We’re looking for a Data Strategy & Analytics Associate to join the team. This role will play an instrumental role in managing, executing, and improving the end-to-end optimization process for partners through A/B testing, deep-dive analysis, and strategic insights.
You will have the opportunity to work directly with major partners and collaborate closely with our Client Strategy, Data Science and Data Engineering teams. This is an exciting opportunity to take on a critical, cross-functional role and directly drive product success.
Key Responsibilities
Perform data mining and analysis using our internal databases as well as external marketing channel data (Facebook Ads, Google Ads) to find actionable strategic insights that drive product growth and improvement
Develop dashboards, reports, and visualizations using tools such as Excel, Tableau, and MySQL
Prepare and present analytical insights and presentations to internal stakeholders
Collaborate with our Client Strategy team to strengthen client relationships by creating and presenting compelling data-led stories
About You
Must Haves:
Intellectual curiosity and a desire to learn new technical skills with some degree of autonomy (i.e. SQL, Tableau)
Creative critical thinking and problem solving skills
Collaborative and interpersonal skills
Strong comfort with Excel including ability to perform functions like pivot tables and basic formulas like IF, SUM, VLOOKUP, etc.
A foundational knowledge of statistics, including an understanding of hypothesis testing and metrics like mean, variance, statistical significance
Nice-to-Haves:
Experience with SQL including concepts like aggregations, joins, unions, window
BA or BS in a quantitative subject like Computer Science, Mathematics, Statistics, or Economics
About Us
is the data science company for the world’s leading online commerce and travel brands. Our Predictive Intelligence Platform uses patented technology to predict user behavior in real-time and identify the future value of every user. Over 450 innovative brands from more than 40 countries trust Intent’s real-time predictions to deliver personalized user experiences that maximize utility and ROI.
Every day, we’re inspired by two pursuits. First, we’re building novel products that are upending e-commerce. Second, we’re building the company we’ve always wanted to work for — one that’s open, human and collaborative, where very smart people come together to share ideas and get things done. We’re included on Built in NYC's Best Places to Work list and have been on Crain’s 100 Best Places to Work in NYC list for seven years running.
Love Your Job!
Our employees enjoy coming to work, and we let them know they're valued.
Our vibrant team accomplishes a lot every day, but we insist upon work/life balance so things never become stale. We don’t take ourselves too seriously, but we take our work very seriously.
We believe that in order for our employees to perform their best, they need access to strategic decisions, and so our flat structure and open communication invite innovation from all levels — ideas flow freely.
We offer competitive compensation, stock options, and other great perks & benefits for employees and their dependents.
Human First
We are proud to be an equal opportunity employer and are committed to being “Human First”. We see diversity as strength and believe from more perspectives come better decisions. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
So what are you waiting for? Apply with your resume in just a few clicks!",4.7,"<intent>
4.7","New York, NY",51 to 200 Employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
6,Data Scientist,$60K-$127K (Glassdoor est.),"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.4,"Publishers Clearing House
3.4","Jericho, NY",501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD)
7,Machine Learning Engineer,$60K-$127K (Glassdoor est.),"POSITION PURPOSE:
This position is responsible for aiding operational areas of the organization leveraging both internal and external data assets to achieve business insights, gain deeper understanding of member needs, and enhance tactical and strategic decision making.
NATURE AND SCOPE:
Collaborates with data science team to extract analytical, behavioral and predictive data sets and data pipelines from ever increasing data resources. Understands progressive statistical, programmatic, and analytical approaches to business hypotheses as it applies to available data. Aids business owners & data science team in the interpretation of source data and associated business data pipelines. Requires a solid understanding of both the technical and business aspects of Data Science and business analytics. Requires full software development life cycle experience within various analytical architectures, including piloting models, architecting underlying data design, and model operationalization. Models will be deployed using agile methodologies to ensure timely and relevant delivery.
Responsible for the design, development, and maintenance of analytical models that will be placed into operation. Will be required to explore internal and external data sources to identify useful structures within the data that were/are previously unknown to the business. Should have a strong understanding of relational and dimensional modeling to facilitate data wrangling, model operationalization, and exploration of data. Responsible for adhering to corporate data governance policy and controls to ensure the accuracy, timeliness and confidentiality of resources under management. Must be able to work with users from all levels of management in developing and implement operational and strategic analytics. The Machine Learning Engineer’s primary focus will be on operationalization of analytical models.

Be the go-to-person for data pipelines to support operational implementation of Data Science and analytical models.
Engineer each solution with serverless technology when possible, with optimized performance.
Execute analytics solution engineering strategy, requirements, and adapt processes as needed.
Perform DevOps and orchestration around supporting data marts and analytical processes.
Monitor and secure usage of data while tracking analytic product performance.
Advise and collaborate in internal partnerships to deliver accurate, available, and accessible API services.
Ensure all security, documentation, governance, and compliance standards are met.
Manage small reporting layer on top of analytical models to ensure accountability and insight into models’ performance and impact.
Identifies potential concerns based on projections of current trends.

Experience developing business analytical solutions in large or midsize companies.
Must be able to manage multiple tasks simultaneously and react to problems quickly.
Contribute to Credit Union culture by keeping a positive attitude and growing relationships
Understanding of the financial services industry desired.
Experience with dashboard design and delivery desired
Must be able to translate concepts and directions into practical solutions.
Must have development experience with various data management technology; NoSQL; relational database; message broker; multi-dimensional database; and design architecture.
Understand data collection, streaming, preparation, analysis, visualization, modeling, algorithm integration, evaluation, optimization within an implementation context.
Must have advanced SQL abilities, experience with both Oracle and Microsoft desired.
Must have advanced programming experience with Python
Must have experience with Linux.
Experience with Anaconda; RabitMQ; Jupyter Notebook; Tableau desired
EXPERIENCE:
3+ years of experience in designing, developing and implementing Data Science solutions.
EDUCATION:
Bachelor of Science degree in information technology, computer science, statistics, or related business degree with equivalent experience of 3 years.
Master of Science in information technology, computer science, statistics, or related degree.",3.9,"America First Credit Union
3.9","Ogden, UT",1001 to 5000 Employees,1939,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
8,Data Engineer,$60K-$127K (Glassdoor est.),"Company Summary:
An eCommerce company that sells business supplies, equipment, and tools but we're much more than just a website. We're a team of people who win and lose together (we prefer winning!). Since 2011, we have been working hard to make it easy for our customers to purchase everything they need to make their businesses go. Our company currently offers over 4 million products, fast and free shipping, no-hassle returns, and exceptional customer service. We've grown quickly in a short time, recently surpassing 400 team members and reaching annual revenue of over $500 million. Add to that our award-winning culture we were named a Great Place to Work for 2019-20, among other accolades and we think we're a pretty amazing place to work and grow.
Primary Function:
The Data Engineer will collaborate with various other IT groups, business partners and external service providers and play a key role in the design, development and operations of our new analytics platform.

Duties and Responsibilities:
Participate in Requirements Gathering: work with key business partner groups (e.g. Product Mgt) and other Data Engineering personnel to understand department-level data requirements for the ZDP
Design Data Pipelines: work with other Data Engineering personnel on an overall design for flowing data from various internal and external sources into the ZDP
Build Data Pipelines: leverage standard toolset and develop ETL/ELT code to move data from various internal and external sources into the ZDP
Support Data Quality Program: work with Data QA Engineer to identify automated QA checks and associated monitoring & alerting to ensure ZDP maintains consistently high quality data
Support Operations: triage alerts channeled to you and remediate as necessary
Technical Documentation: leverage templates provided and create clear, simple and comprehensive documentation for your development
Key contributor to defining, implementing and supporting:
Data Services
Data Dictionary
Tool Standards
Best Practices
Data Lineage
User Training
Qualifications:
Strong ELT/ ETL designer/developer
Strong SQL
Strong Python
Structured & unstructured data expertise
Cloud environment development & operations experience (e.g. AWS, GCP)
Preference for candidates experienced with:
Google Cloud Platform (GCP) and associated services; e.g. BigQuery, GCS, Cloud Composer, Dataproc, Dataflow, Dataprep, Cloud Pub/Sub, Metadata DB, Data Studio, Datalab, other
Other important tools: Apache Airflow (scheduler), Bitbucket and git (version control), Stackdriver (ops monitoring), Opsgenie (alert notification), Docker
Real-time data replication/streaming tools
Data Modeling
Excellent verbal and written communications
Strong team player

Success Criteria
Strong analytical thinking and problem solving skills
Superior communication and business-technical interaction skills
Positive get it done attitude
Ability to multi-task and manage multiple activities with varying timelines

To qualify, you must possess the following skills:
Bachelor's degree in computer science, management information systems, or a related discipline
5+ years hands-on ETL/ELT design/development experience
Key resource on team(s) that have delivered successful enterprise-level analytics platforms",4.3,"Peterson Technology Partners
4.3","Chicago, IL",201 to 500 Employees,1997,Contract,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
9,Data Science and Analytics Leader,$60K-$127K (Glassdoor est.),"Job Description


Purpose:

Are you passionate about using data science to propel decisions? If you are interested in crafting the smart connected home of the future - this is an opportunity to join the market-leading Delta Faucet Company team as we use analytics to turbocharge product development and business decisions!

Reporting to the Sr. Director of Insights and Analytics, this role will accompany a team of research and domain specialists excited to deploy advanced analytics throughout the business. You will lead practitioners to develop advanced models, influence the IoT architecture, and grow our data and literacy

Responsibilities:

We are seeking a player/coach to lead our advanced analytics capability, specifically you will:
Build data driven behaviors development across the enterprise, moving analytic insight to actions
Explore, build and pilot analytic solutions to enhance business decisions
Craft an experimental framework to accelerate product development
Deliver demand models for planning and ad-hoc scenario analysis
Generate and synthesize economic, market, and consumer insights
The role will also join a cross-functional leadership team influencing the architecture and development of data platforms to enable data science

Education & Experience:

A successful candidate will be a lifelong learner who has:
3+ years architecting analytic solutions for sales, marketing, or manufacturing
3+ years crafting data visualizations using Power BI, Python, R-Shiny, or Tableau
3+ years of applied data science experience using R or Python
2+ years cross functional initiative experience
Bachelor’s Degree in Statistics, Data Science, Mathematics, Computer Science, Economics or other related degree
Shift
Full or Part Time
Full time

Delta Faucet Company (the “Company”) is an equal opportunity employer and we want to have the best available persons in every job. The Company makes employment decisions only based on merit. It is the Company’s policy to prohibit discrimination in any employment opportunity (including but not limited to recruitment, employment, promotion, salary increases, benefits, termination and all other terms and conditions of employment) based on race, color, sex, sexual orientation, gender, gender identity, gender expression, genetic information, pregnancy, religious creed, national origin, ancestry, age, physical/mental disability, medical condition, marital/domestic partner status, military and veteran status, height, weight or any other such characteristic protected by federal, state or local law. The Company is committed to complying with all applicable laws providing equal employment opportunities. This commitment applies to all persons involved in the operations of the Company regardless of where the employee is located and prohibits unlawful discrimination by any employee of the Company.

Delta Faucet Company is an E-Verify employer. E-Verify is an Internet based system operated by the Department of Homeland Security (DHS) in partnership with the Social Security Administration (SSA) that allows participating employers to electronically verify the employment eligibility of their newly hired employees in the United States. Please click on the following links for more information.

E-Verify Participation Poster: English & Spanish

E-verify Right to Work Poster: English, Spanish",4.2,"Delta Faucet Company
4.2","Indianapolis, IN",1001 to 5000 Employees,1954,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable
